;address;latitude;longitude;name;number;num_cluster
74;Gladstone Rd / Annerley Rd;-27.497934;153.027333;127 - GLADSTONE RD / ANNERLEY RD;127;4.0
75;Jane St / Montague Rd;-27.478214;153.006181;110 - JANE ST / MONTAGUE RD;110;2.0
76;Main St / Rotherham St (Mahoney Park);-27.469296;153.035533;90 - MAIN ST / ROTHERHAM ST (MAHONEY PARK);90;3.0
77;Little Cribb St / Boomerang St;-27.467971;153.009968;132 - LITTLE CRIBB ST / BOOMERANG ST;132;2.0
78;Grey St / Melbourne St;-27.474722;153.018694;96 - GREY ST / MELBOURNE ST;96;2.0
79;Queen St / Eagle St;-27.466369;153.029597;2 - QUEEN ST / EAGLE ST;2;3.0
80;Ann St / Chester St;-27.453195;153.0401;62 - ANN ST / CHESTER ST;62;1.0
81;Charlotte St / Albert St;-27.471315;153.026627;123 - CHARLOTTE ST / ALBERT ST;123;3.0
82;Vulture St / Thomas St;-27.480768;153.011121;103 - VULTURE ST / THOMAS ST;103;2.0
83;George St / Adelaide St;-27.469902;153.022603;28 - GEORGE ST / ADELAIDE ST;28;3.0
84;Wickham St / Brookes St;-27.453127;153.037559;60 - WICKHAM STREET / BROOKES STREET;60;1.0
85;Annerley Rd / Grove St;-27.491284;153.027138;124 - ANNERLEY ROAD / GROVE ST;124;4.0
86;Reddacliff Pl / Queen St;-27.471332;153.022991;25 - REDDACLIFF PL / QUEEN ST;25;3.0
87;Colchester St / Ernest St;-27.479876;153.021076;114 - COLCHESTER ST / ERNEST ST;114;4.0
88;WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE;-27.448074;153.045762;76 - WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE;76;1.0
89;Montague Rd / Brereton St;-27.474227;153.011164;115 - MONTAGUE RD / BRERETON ST;115;2.0
90;Roma St / Ann St;-27.467963;153.0231;30 - ROMA ST / ANN ST;30;3.0
91;Skyring Tce / Cunningham St;-27.44979;153.044925;64 - SKYRING TCE / CUNNINGHAM ST;64;1.0
92;Thornton St Ferry Terminal / Main St;-27.471025;153.034306;92 - THORNTON ST FERRY TERMINAL / MAIN ST;92;3.0
93;Melbourne St / Merivale St;-27.474755;153.016687;118 - MELBOURNE ST / MERIVALE ST;118;2.0
94;Hastings St / Macquarie St;-27.460914;153.04987;71 - HASTINGS ST / MACQUARIE ST;71;1.0
95;Park Rd / Railway Tce;-27.469501;153.004129;135 - PARK RD / RAILWAY TCE;135;2.0
96;Rogers St / Montague Rd;-27.485078;153.002382;108 - ROGERS ST / MONTAGUE RD;108;0.0
97;Donkin St / Montague Rd;-27.476474;153.008182;111 - DONKIN ST / MONTAGUE RD;111;2.0
98;Ann St / Boundary St;-27.461984;153.031782;46 - ANN ST / BOUNDARY ST;46;3.0
99;Margaret St / Albert St;-27.472598;153.028383;17 - MARGARET ST / ALBERT ST;17;3.0
100;Drury St / Montague Rd;-27.48872;152.999585;107 - DRURY ST / MONTAGUE RD;107;0.0
101;Creek St / Elizabeth St;-27.467556;153.029202;3 - CREEK ST / ELIZABETH ST;3;3.0
102;Holman St / Main St;-27.465733;153.034329;89 - HOLMAN ST / MAIN ST;89;3.0
103;Roma St / Herschel St;-27.466753;153.020012;33 - ROMA ST / HERSCHEL ST;33;3.0
104;Upper Roma St / Eagle Tce;-27.466032;153.01476;37 - UPPER ROMA ST / EAGLE TCE;37;2.0
105;Boundary St / Vulture St;-27.482562;153.011831;120 - BOUNDARY ST / VULTURE ST;120;2.0
106;Sydney St / Brunswick St;-27.468407;153.048273;83 - SYDNEY ST / BRUNSWICK ST;83;1.0
107;Gardens Point Rd / SE of Goodwill Bridge;-27.478846;153.028296;20 - GARDENS POINT RD / SE OF GOODWILL BRIDGE;20;4.0
108;New Farm Ferry Terminal / New Farm Park;-27.471481;153.051966;84 - NEW FARM FERRY TERMINAL / NEW FARM PARK;84;1.0
109;Lower River Tce / Parklands;-27.478032;153.034186;129 - LOWER RIVER TCE / PARKLANDS;129;3.0
110;Jane St / Boundary St;-27.479149;153.012132;126 - JANE ST / BOUNDARY ST;126;2.0
111;Dornoch Tce / Hardgrave Rd;-27.487155;153.007281;105 - DORNOCH TCE / HARDGRAVE RD;105;0.0
112;Besant St / Vulture St;-27.480885;153.014585;102 - BESANT ST / VULTURE ST;102;2.0
113;Margaret St / Edward St;-27.47148;153.029647;7 - MARGARET STREET / EDWARD STREET;7;3.0
114;Glenelg St / Merivale St;-27.478653;153.019123;94 - GLENELG ST / MERIVALE ST;94;4.0
115;Orleigh St / Hoogley St;-27.489807;153.002405;106 - ORLEIGH ST / HOOGLEY ST;106;0.0
116;Melbourne St /  Edmondstone St;-27.47666;153.013287;100 - MELBOURNE ST / EDMONDSTONE ST;100;2.0
117;Wickham St / Murri Way;-27.451793;153.039562;61 - WICKHAM ST / MURRI WAY;61;1.0
118;Brunswick St / Alfred St;-27.45663;153.032779;51 - BRUNSWICK ST / ALFRED ST;51;1.0
119;Commercial Rd / Skyring Tce;-27.45296;153.048107;66 - COMMERCIAL RD / SKYRING TCE;66;1.0
120;Jephson St / Sherwood Rd;-27.485075;152.990627;144 - JEPHSON ST / SHERWOOD RD;144;0.0
121;Sandford St / Austral St;-27.492489;152.996768;148 - SANDFORD ST / AUSTRAL ST;148;0.0
122;Brisbane St / Glen Rd;-27.487187;152.993052;146 - BRISBANE ST / GLEN RD;146;0.0
123;Wharf St / Adelaide St;-27.464647;153.029361;42 - WHARF STREET / ADELAIDE STREET;42;3.0
124;Edward St / Queen St;-27.468206;153.026744;10 - EDWARD STREET / QUEEN STREET;10;3.0
125;Gardens Point Rd / Adj. Bridge;-27.479004;153.028853;19 - GARDENS POINT ROAD / ADJ. BRIDGE;19;4.0
126;Alice St / Edward St;-27.472291;153.030639;6 - ALICE STREET / EDWARD STREET;6;3.0
127;Sylvan Rd / Coronation Dr;-27.482081;152.995804;142 - SYLVAN RD / CORONATION DR;142;0.0
128;Russell St / Edmondstone St;-27.478235;153.015173;101 - RUSSELL ST / EDMONDSTONE ST;101;2.0
129;Shafston Ave / Thorn St;-27.476792;153.039186;131 - SHAFSTON AVE / THORN ST;131;3.0
130;Cordelia St / Peel St;-27.474011;153.014541;99 - CORDELIA ST / PEEL ST;99;2.0
131;East St / Ann St;-27.455472;153.037775;58 - EAST ST / ANN ST;58;1.0
132;Bridge St / Wickham St;-27.454746;153.036154;57 - BRIDGE ST / WICKHAM ST;57;1.0
133;Tank St / George St;-27.468678;153.019801;32 - TANK ST / GEORGE ST;32;3.0
134;Sydney St / Moray St;-27.471422;153.04519;86 - SYDNEY ST / MORAY ST;86;1.0
135;Ann St / Wharf St;-27.46383;153.029125;41 - ANN ST / WHARF ST;41;3.0
136;Griffith St / Riverview Ct;-27.471886;153.041854;81 - GRIFFITH ST / RIVERVIEW CT;81;1.0
137;Hardgrave Rd / Skinner St;-27.482082;153.006981;104 - HARDGRAVE RD / SKINNER ST;104;2.0
138;Makerston St / Roma St;-27.467037;153.018471;34 - MAKERSTON ST / ROMA ST;34;3.0
139;Bouquet St / Montague Rd;-27.471712;153.013188;128 - BOUQUET ST / MONTAGUE RD;128;2.0
140;Albert St Mall / Adelaide St;-27.469183;153.024719;13 - ALBERT STREET MALL / ADELAIDE STREET;13;3.0
141;Roma St / Garrick St;-27.466307;153.017351;36 - ROMA STREET / GARRICK STREET;36;3.0
142;Kilroe St / Dorsey St;-27.472413;153.001803;137 - KILROE ST / DORSEY ST;137;2.0
143;Balfour St / Brunswick St;-27.463431;153.041031;79 - BALFOUR ST / BRUNSWICK ST;79;1.0
144;38 - Ann St / Creek St;-27.46588;153.026861;38 - ANN ST / CREEK ST;38;3.0
145;Albert St Mall / Elizabeth St;-27.47011;153.025627;14 - ALBERT STREET MALL / ELIZABETH STREET;14;3.0
146;Turbot St / Bowen St;-27.462665;153.029087;45 - TURBOT ST / BOWEN ST;45;3.0
147;Edward St / Queen St;-27.46812;153.02682;1 - EDWARD ST / QUEEN ST;1;3.0
148;Cordelia St / Ernest St;-27.481137;153.019284;116 - CORDELIA ST / ERNEST ST;116;4.0
